,Thana,District,Accident_Severity,Month,Year,Time,Junction_Type,Traffic_Control,Collision_Type,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,X,Y,Road_No,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Loading,Vehicle_Defect,Driver_Age,Alcohol,Seat_Belt
23,016,42,Fatal,February,2015,2,No Junction,No Control,Hit Pedestrian,1-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Under Repair,Regional,None,Rural Area,     ?,     ?,   ?,Baby Taxi,Going Ahead,Legal,None,35,Not Suspected,No
24,021,42,Fatal,February,2015,4,T Junction,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Under Repair,National,None,Urban Area,304881,072069,   ?,Heavy Truck,Going Ahead,Legal,None,24,Suspected,No
25,035,42,Fatal,February,2015,1,No Junction,Police Control,Hit Pedestrian,1-way Street,2-way Street,Fair,Dawn,Curve + Slop,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Heavy Truck,Going Ahead,Legal,None,45,Not Suspected,No
26,009,42,Grievios,February,2015,4,No Junction,No Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,Feeder,None,Urban Area,304308,073070,   ?,Car,Going Ahead,Legal,None,40,Not Suspected,No
27,022,42,Fatal,February,2015,1,No Junction,Police Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,0003,Bus,Going Ahead,Legal,None,40,Not Suspected,No
28,014,42,Simple,February,2015,2,No Junction,No Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,304446,074175,   ?,Microbus,Overtaking,Legal,None,40,Not Suspected,No
29,033,42,Fatal,February,2015,1,Other,Police Control,Hit Pedestrian,1-way Street,2-way Street,Fog,Dawn,Curve Only,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,45,Not Suspected,No
30,033,42,Fatal,February,2015,3,T Junction,Pedestrain Crossing,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Curve Only,Dry,Sealed,Good,City,None,Urban Area,304733,072311,   ?,Bus,Going Ahead,Legal,None,45,Not Suspected,No
31,033,42,Fatal,January,2015,4,No Junction,Police Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,305152,072120,   ?,Bus,Going Ahead,Legal,None,35,Not Suspected,No
32,033,42,Fatal,February,2015,1,No Junction,No Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,305156,072110,   ?,Bus,Going Ahead,Legal,None,45,Not Suspected,No
33,023,42,Fatal,March,2015,1,Railway,Police Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,Regional,None,Urban Area,304717,073710,   ?,Heavy Truck,Going Ahead,Legal,None,40,Not Suspected,No
34,016,42,Grievios,March,2015,3,Cross Road,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,Regional,None,Urban Area,304745,073352,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
35,044,42,Grievios,February,2015,4,Other,No Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,304477,074285,   ?,Car,Crossing Road,Legal,None,23,Suspected,No
36,044,42,Fatal,February,2015,1,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,0003,Pick Up,Going Ahead,Legal,None,40,Suspected,No
37,048,42,Fatal,March,2015,3,Cross Road,Police Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,304771,072304,   ?,Minibus,Overtaking,Legal,None,32,Suspected,No
38,029,42,Fatal,January,2015,4,Round About,Police Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,304387,072635,   ?,Heavy Truck,Going Ahead,Legal,None,40,Not Suspected,No
39,029,42,Fatal,January,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
40,029,42,Fatal,February,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Heavy Truck,Going Ahead,Legal,None,40,Not Suspected,No
41,029,42,Fatal,March,2015,3,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,30,Not Suspected,No
42,029,42,Fatal,March,2015,4,Cross Road,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Sudden Start,Legal,None,45,Not Suspected,No
43,033,42,Fatal,March,2015,4,Round About,No Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Dawn,Curve + Slop,Dry,Sealed,Good,National,None,Urban Area,304880,072265,   ?,Minibus,Going Ahead,Legal,None,35,Not Suspected,No
44,033,42,Fatal,March,2015,2,No Junction,No Control,Rear End,1-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,305152,072120,   ?,Minibus,Going Ahead,Legal,None,40,Not Suspected,No
45,002,42,Fatal,February,2015,4,No Junction,Centreline,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(unlit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,304725,072422,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
46,002,42,Fatal,March,2015,4,No Junction,Centreline,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(unlit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,304634,072546,   ?,Tempo,Going Ahead,Legal,Other,30,Not Suspected,No
47,012,42,Grievios,February,2015,3,No Junction,Other,Hit Pedestrian,1-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Motor Cycle,Going Ahead,Legal,None,28,Not Suspected,Yes
48,049,42,Fatal,March,2015,1,No Junction,Police Control,Hit Object off Road,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Pick Up,Going Ahead,Legal,None,28,Not Suspected,No
49,043,42,Fatal,March,2015,2,Cross Road,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
50,022,42,Fatal,March,2015,2,No Junction,Police Control,Hit Object off Road,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,304635,073926,0003,Bus,Going Ahead,Legal,None,40,Suspected,No
51,022,42,Fatal,March,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,304587,073985,0003,Bus,Going Ahead,Legal,None,40,Not Suspected,No
52,022,42,Fatal,March,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,304587,073985,0003,Bus,Going Ahead,Legal,None,40,Not Suspected,No
53,034,42,Fatal,March,2015,1,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,45,Not Suspected,No
54,034,42,Fatal,March,2015,4,No Junction,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,303873,073161,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
55,017,42,Fatal,March,2015,2,No Junction,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,303993,073175,   ?,Minibus,Going Ahead,Legal,None,30,Not Suspected,No
56,015,42,Grievios,February,2015,3,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,Regional,None,Urban Area,304017,073691,   ?,Bus,Going Ahead,Legal,None,45,Not Suspected,No
57,009,42,Fatal,March,2015,3,No Junction,No Control,Rear End,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
58,033,42,Fatal,March,2015,4,Other,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
59,044,42,Fatal,March,2015,4,Round About,Police + Traffic Lights,Hit Pedestrian,2-way Street,2-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,0003,Truck,Left Turn,Legal,None,38,Not Suspected,No
60,044,42,Fatal,March,2015,2,T Junction,No Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,304477,074285,   ?,Tempo,Crossing Road,Legal,None,30,Suspected,No
61,001,42,Fatal,April,2015,2,Cross Road,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Under Repair,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
62,033,42,Fatal,April,2015,4,Other,No Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,?,42,Not Suspected,No
63,033,42,Simple,April,2015,3,No Junction,Police Control,Hit Object off Road,1-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
64,033,42,Fatal,April,2015,4,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
65,033,42,Fatal,April,2015,2,Other,No Control,Slide Swip,1-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,305090,072142,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
66,033,42,Fatal,April,2015,3,Other,No Control,Hit Pedestrian,1-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,Regional,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
67,033,42,Fatal,April,2015,2,No Junction,No Control,Hit Pedestrian,1-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,305133,072166,   ?,Truck,Going Ahead,Legal,None,40,Not Suspected,No
68,033,42,Fatal,April,2015,4,No Junction,Other,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,Regional,None,Urban Area,304924,072279,   ?,Pick Up,Going Ahead,Legal,None,40,Not Suspected,No
69,033,42,Fatal,April,2015,1,Other,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
70,023,42,Fatal,April,2015,1,No Junction,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
71,023,42,Fatal,April,2015,2,Staggered Junction,No Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Dawn,Curve Only,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
72,034,42,Fatal,April,2015,4,No Junction,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
73,034,42,Fatal,April,2015,2,T Junction,No Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Minibus,Overtaking,Legal,None,50,Suspected,No
74,034,42,Fatal,April,2015,4,No Junction,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Car,Going Ahead,Legal,None,35,Not Suspected,No
75,012,42,Fatal,April,2015,3,Other,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Tempo,Going Ahead,Legal,None,45,Not Suspected,No
76,021,42,Fatal,April,2015,4,No Junction,No Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,45,Suspected,No
77,011,42,Simple,April,2015,2,Round About,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,304160,073431,   ?,Minibus,Going Ahead,Legal,None,30,Not Suspected,No
78,024,42,Fatal,April,2015,4,No Junction,No Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Night(lit),Curve + Slop,Dry,Sealed,Good,City,None,Rural Area,     ?,     ?,   ?,Heavy Truck,Going Ahead,Legal,None,40,Not Suspected,No
79,007,42,Grievios,April,2015,4,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,27,Not Suspected,No
80,036,42,Fatal,April,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Car,Going Ahead,Legal,None,45,Not Suspected,No
81,022,42,Fatal,April,2015,4,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,304592,073979,0003,Bus,Going Ahead,Legal,None,40,Not Suspected,No
82,022,42,Fatal,April,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,304655,073908,0003,Bus,Going Ahead,Legal,None,40,Not Suspected,No
83,029,42,Fatal,April,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None, ?,Suspected,No
84,044,42,Fatal,April,2015,1,T Junction,Police Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,0003,Bus,Going Ahead,Legal,None,40,Suspected,No
85,009,42,Fatal,April,2015,1,Other,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Suspected,No
86,010,42,Fatal,April,2015,1,No Junction,No Control,Hit Object off Road,2-way Street,2-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,Regional,None,Urban Area,     ?,     ?,   ?,Pick Up,Going Ahead,Legal,None,21,Not Suspected,No
87,032,42,Fatal,April,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
88,026,42,Fatal,August,2015,4,No Junction,No Control,Head On,2-way Street,2-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Pick Up,Other,?,?, ?,?,?
89,027,42,Grievios,May,2015,3,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
90,040,42,Simple,May,2015,2,No Junction,Police Control,Rear End,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Crossing Road,Legal,None,30,Not Suspected,No
91,010,42,Fatal,July,2015,4,T Junction,Other,Hit Pedestrian,1-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,Feeder,None,Urban Area,304191,072857,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
92,017,42,Grievios,May,2015,3,T Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Brick,Good,City,Culvert,Urban Area,     ?,     ?,   ?,Minibus,Going Ahead,Legal,Lights,26,Not Suspected,No
93,013,42,Fatal,May,2015,1,Cross Road,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Heavy Truck,Going Ahead,Legal,None,38,Not Suspected,No
94,049,42,Grievios,May,2015,2,No Junction,No Control,Hit Pedestrian,1-way Street,2-way Street,Fair,Daylight,Curve Only,Dry,Sealed,Good,Feeder,None,Urban Area,     ?,     ?,   ?,Truck,Left Turn,Legal,None,25,Not Suspected,No
95,034,42,Fatal,May,2015,4,No Junction,No Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,304017,073145,   ?,Tempo,Going Ahead,Legal,None,40,Not Suspected,No
96,025,42,Grievios,May,2015,3,Cross Road,No Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Curve Only,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Tempo,Reversing,Legal,None,30,Not Suspected,No
97,022,42,Fatal,May,2015,4,No Junction,Police Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,0003,Bus,Going Ahead,Legal,None,35,Not Suspected,No
98,036,42,Grievios,May,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,Regional,None,Urban Area,     ?,     ?,   ?,Minibus,Going Ahead,Legal,None,30,Not Suspected,No
99,033,42,Fatal,May,2015,3,No Junction,Police Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Daylight,Slop Only,Dry,Sealed,Under Repair,Regional,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,30,Not Suspected,No
100,032,42,Fatal,May,2015,1,Cross Road,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Rough,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Suspected,No
101,009,42,Fatal,May,2015,1,No Junction,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,304656,073908,   ?,Bus,Going Ahead,Legal,None,30,Not Suspected,No
102,009,42,Fatal,May,2015,2,No Junction,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
103,007,42,Simple,May,2015,4,No Junction,Police Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Artic Truck,Left Turn,Legal,None,30,Not Suspected,No
104,009,42,Grievios,June,2015,2,No Junction,Police Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,28,Not Suspected,No
105,009,42,Fatal,June,2015,4,No Junction,Police Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,304354,072884,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
